district_id,district_name,state,enrollment,instructional_staff,year,data_source,daily_instructional_minutes,lct_minutes,lct_hours,student_teacher_ratio,lct_percentile,lct_category
400615,West-MEC - Western Maricopa Education Center (80923),AZ,423.0,63.16,2023-24,nces_ccd,360,53.75,0.9,6.7,96.3,Very High (>30 min)
400630,Alpine Elementary District (4161),AZ,56.0,6.0,2023-24,nces_ccd,360,38.57,0.64,9.3,88.8,Very High (>30 min)
400680,Amphitheater Unified District (4406),AZ,11835.0,779.25,2023-24,nces_ccd,360,23.7,0.39,15.2,35.9,Moderate (20-25 min)
400720,Antelope Union High School District (4506),AZ,192.0,1.0,2023-24,nces_ccd,360,1.88,0.03,192.0,2.5,Very Low (<15 min)
400750,Apache Elementary District (4178),AZ,12.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
400752,Pima County JTED (89380),AZ,160.0,41.45,2023-24,nces_ccd,360,93.26,1.55,3.9,98.8,Very High (>30 min)
400772,Mountain Institute CTED #2 (90090),AZ,57.0,3.0,2023-24,nces_ccd,360,18.95,0.32,19.0,16.2,Low (15-20 min)
400790,Apache Junction Unified District (4443),AZ,2710.0,142.1,2023-24,nces_ccd,360,18.88,0.31,19.1,16.0,Low (15-20 min)
400794,Western Arizona Vocational District #50 (90123),AZ,10.0,2.0,2023-24,nces_ccd,360,72.0,1.2,5.0,98.2,Very High (>30 min)
400840,Arlington Elementary District (4274),AZ,302.0,17.0,2023-24,nces_ccd,360,20.26,0.34,17.8,20.7,Moderate (20-25 min)
400870,Ash Creek Elementary District (4187),AZ,29.0,13.0,2023-24,nces_ccd,360,161.38,2.69,2.2,99.4,Very High (>30 min)
400910,Ash Fork Joint Unified District (4471),AZ,280.0,12.91,2023-24,nces_ccd,360,16.6,0.28,21.7,10.2,Low (15-20 min)
400920,Southwest Technical Education District of Yuma (ST (92705),AZ,8.0,4.5,2023-24,nces_ccd,360,202.5,3.38,1.8,99.5,Very High (>30 min)
400960,Avondale Elementary District (4272),AZ,5960.0,244.9,2023-24,nces_ccd,360,14.79,0.25,24.3,6.3,Very Low (<15 min)
401000,Bagdad Unified District (4468),AZ,553.0,35.04,2023-24,nces_ccd,360,22.81,0.38,15.8,31.7,Moderate (20-25 min)
401015,Cochise County Accommodation School District (1001687),AZ,268.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
401050,Balsz Elementary District (4268),AZ,2092.0,130.5,2023-24,nces_ccd,360,22.46,0.37,16.0,29.9,Moderate (20-25 min)
401080,Beaver Creek Elementary District (4481),AZ,327.0,12.0,2023-24,nces_ccd,360,13.21,0.22,27.2,4.8,Very Low (<15 min)
401160,Bicentennial Union High School District (4515),AZ,118.0,11.0,2023-24,nces_ccd,360,33.56,0.56,10.7,79.8,Very High (>30 min)
401180,Bisbee Unified District (4169),AZ,675.0,43.73,2023-24,nces_ccd,360,23.32,0.39,15.4,34.2,Moderate (20-25 min)
401230,Blue Elementary District (4231),AZ,13.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
401260,Bonita Elementary District (4224),AZ,82.0,11.0,2023-24,nces_ccd,360,48.29,0.8,7.5,94.9,Very High (>30 min)
401290,Bouse Elementary District (4513),AZ,46.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
401330,Bowie Unified District (4171),AZ,58.0,5.0,2023-24,nces_ccd,360,31.03,0.52,11.6,71.9,Very High (>30 min)
401380,Buckeye Elementary District (4269),AZ,5810.0,243.5,2023-24,nces_ccd,360,15.09,0.25,23.9,6.8,Low (15-20 min)
